"","X1","DATEym","Freq.101 - 200 Employees","Freq.15 - 100 Employees","Freq.201 - 500 Employees","Freq.501+ Employees","Freq.NULL.x","Freq.Under 15 Employees","Freq.Unknown Number Of Employees","Freq.Elected Official/Fed. Govt","Freq.Elected Official/State-Local","Freq.Federal Government Agency","Freq.Joint Apprenticeship","Freq.NULL.y","Freq.Other","Freq.Private College/University","Freq.Private College/University (Inactive Code)","Freq.Private Elem/Secondary School","Freq.Private Employer","Freq.Private Employment Agency","Freq.Public College/University","Freq.Public Elem/Secondary School","Freq.Public Employment Agency","Freq.State/Local Govt","Freq.Union","Freq.CP Sex Not Available/Applicable","Freq.Female","Freq.Male","Freq.NULL","count","prop.fem","prop.priv","DATE.x","FRBKCLMCIM","DATE.y","LREM25TTUSM156S","DATEymx","row","seas_count"
"106",106,"2004-07",22,82,24,87,1,1,22,0,0,0,0,0,1,1,0,0,201,1,3,2,3,27,0,9,194,36,0,239,0.811715481171548,0.841004184100418,2004-07-01,0.56351,2004-07-01,79.160042077011,"2004-07",106,229.187152777778
"107",107,"2004-08",35,113,25,71,1,1,23,0,0,0,0,0,1,1,0,0,242,3,2,3,0,17,0,13,213,43,0,269,0.79182156133829,0.899628252788104,2004-08-01,0.27796,2004-08-01,79.0312456362007,"2004-08",107,254.622569444444
"108",108,"2004-09",27,113,20,60,1,0,44,0,0,0,0,0,0,0,0,0,235,4,1,2,5,18,0,8,212,45,0,265,0.8,0.886792452830189,2004-09-01,0.33345,2004-09-01,79.0484760394864,"2004-09",108,280.728819444444
"109",109,"2004-10",23,114,32,63,2,1,32,0,0,0,0,0,1,1,0,0,236,3,5,5,1,15,0,13,215,39,0,267,0.805243445692884,0.883895131086142,2004-10-01,0.34664,2004-10-01,79.0541503734606,"2004-10",109,243.187152777778
"110",110,"2004-11",30,109,20,75,3,2,33,0,0,0,0,0,2,1,0,1,238,2,1,2,3,22,0,15,218,39,0,272,0.801470588235294,0.875,2004-11-01,0.2408,2004-11-01,79.1739456326985,"2004-11",110,279.549652777778
"111",111,"2004-12",24,78,22,61,1,1,26,0,0,0,0,0,0,1,0,0,195,1,0,1,0,15,0,5,174,34,0,213,0.816901408450704,0.915492957746479,2004-12-01,0.24324,2004-12-01,78.9925262506871,"2004-12",111,240.157986111111
"112",112,"2005-01",26,94,13,57,2,1,19,0,0,0,0,0,1,0,0,0,185,1,3,2,3,16,1,9,176,27,0,212,0.830188679245283,0.872641509433962,2005-01-01,0.11962,2005-01-01,79.0986573669991,"2005-01",112,222.722569444444
"113",113,"2005-02",20,93,17,64,4,2,27,0,0,0,0,0,2,1,0,0,200,1,3,1,1,15,3,10,175,42,0,227,0.770925110132159,0.881057268722467,2005-02-01,0.24596,2005-02-01,79.1624882740056,"2005-02",113,242.166319444444
"114",114,"2005-03",36,92,23,56,1,0,37,0,0,0,0,0,1,1,0,1,220,2,4,2,1,13,0,10,203,32,0,245,0.828571428571429,0.897959183673469,2005-03-01,0.10894,2005-03-01,79.1386642361288,"2005-03",114,222.099652777778
"115",115,"2005-04",23,104,29,98,2,1,29,0,0,0,0,0,2,3,0,2,259,2,2,3,0,12,1,8,240,38,0,286,0.839160839160839,0.905594405594406,2005-04-01,0.29142,2005-04-01,79.3819363513321,"2005-04",115,279.949652777778
"116",116,"2005-05",21,99,16,53,6,0,30,0,0,0,0,0,2,0,0,0,195,1,1,2,1,22,1,7,175,43,0,225,0.777777777777778,0.866666666666667,2005-05-01,-0.01483,2005-05-01,79.443596032804,"2005-05",116,229.201736111111
"117",117,"2005-06",22,100,26,61,0,0,33,0,0,0,0,0,1,0,0,0,224,0,2,2,0,12,1,6,210,26,0,242,0.867768595041322,0.925619834710744,2005-06-01,0.03229,2005-06-01,79.2376402299835,"2005-06",117,238.426736111111
"118",118,"2005-07",26,106,24,75,2,0,31,0,0,0,0,0,2,0,0,0,240,0,2,4,1,14,1,11,222,31,0,264,0.840909090909091,0.909090909090909,2005-07-01,-0.0077,2005-07-01,79.4415698479633,"2005-07",118,254.187152777778
"119",119,"2005-08",28,116,19,59,3,1,29,0,0,0,0,0,0,2,0,0,234,2,2,4,2,9,0,11,210,34,0,255,0.823529411764706,0.917647058823529,2005-08-01,0.15395,2005-08-01,79.6304493393664,"2005-08",119,240.622569444444
"120",120,"2005-09",20,71,27,63,1,2,22,0,0,0,0,0,1,0,0,0,185,0,3,2,1,13,1,5,173,28,0,206,0.839805825242718,0.898058252427185,2005-09-01,-0.15232,2005-09-01,79.4578096379624,"2005-09",120,221.728819444444
"121",121,"2005-10",17,99,14,57,0,0,26,0,0,0,0,0,1,0,0,0,193,1,5,1,0,12,0,7,169,37,0,213,0.793427230046948,0.906103286384977,2005-10-01,-0.20915,2005-10-01,79.4136160189067,"2005-10",121,189.187152777778
"122",122,"2005-11",23,111,12,52,3,0,27,0,0,0,0,0,4,0,0,0,201,1,2,4,1,15,0,9,187,32,0,228,0.820175438596491,0.881578947368421,2005-11-01,0.11811,2005-11-01,79.326452155502,"2005-11",122,235.549652777778
"123",123,"2005-12",20,89,18,53,0,0,17,0,0,0,0,0,0,2,0,0,174,4,1,2,0,14,0,2,164,31,0,197,0.83248730964467,0.883248730964467,2005-12-01,-0.19736,2005-12-01,79.4038409158521,"2005-12",123,224.157986111111
"124",124,"2006-01",18,90,20,57,2,0,23,0,0,0,0,0,1,1,0,0,180,2,3,1,2,20,0,5,179,26,0,210,0.852380952380952,0.857142857142857,2006-01-01,0.07887,2006-01-01,79.4812698097738,"2006-01",124,220.722569444444
"125",125,"2006-02",20,100,18,51,3,1,25,0,0,0,0,0,1,2,0,1,191,0,1,3,0,18,1,5,179,34,0,218,0.821100917431193,0.876146788990826,2006-02-01,-0.07272,2006-02-01,79.5237237443395,"2006-02",125,233.166319444444
"126",126,"2006-03",23,109,21,69,4,2,44,0,0,0,0,0,1,0,0,1,252,0,3,1,0,14,0,7,224,41,0,272,0.823529411764706,0.926470588235294,2006-03-01,0.04912,2006-03-01,79.6823084483528,"2006-03",126,249.099652777778
"127",127,"2006-04",30,98,13,62,4,0,23,0,0,0,0,0,3,0,0,0,212,0,2,1,0,11,1,3,188,39,0,230,0.817391304347826,0.921739130434783,2006-04-01,0.03036,2006-04-01,79.5932452764006,"2006-04",127,223.949652777778
"128",128,"2006-05",15,101,26,67,4,1,38,0,0,0,0,0,0,0,0,0,222,3,0,5,2,20,0,6,207,39,0,252,0.821428571428571,0.880952380952381,2006-05-01,-0.09163,2006-05-01,79.6725199661244,"2006-05",128,256.201736111111
"129",129,"2006-06",29,106,14,79,5,2,24,0,0,0,0,0,4,0,0,0,230,1,1,4,0,18,1,10,219,30,0,259,0.845559845559846,0.888030888030888,2006-06-01,-0.27394,2006-06-01,79.7515307681088,"2006-06",129,255.426736111111
"130",130,"2006-07",22,113,22,49,1,1,29,0,0,0,0,0,0,1,0,1,211,1,2,3,1,17,0,6,191,40,0,237,0.805907172995781,0.890295358649789,2006-07-01,-0.12733,2006-07-01,79.7449296233625,"2006-07",130,227.187152777778
"131",131,"2006-08",19,115,21,69,3,0,22,0,0,0,0,0,0,0,0,0,223,1,0,3,1,21,0,6,210,33,0,249,0.843373493975904,0.895582329317269,2006-08-01,-0.23744,2006-08-01,79.7401004195623,"2006-08",131,234.622569444444
"132",132,"2006-09",24,116,27,60,2,1,23,0,0,0,0,0,0,0,0,0,227,4,2,1,2,16,1,7,211,35,0,253,0.83399209486166,0.897233201581028,2006-09-01,-0.3111,2006-09-01,79.8979537238104,"2006-09",132,268.728819444444
"133",133,"2006-10",17,118,19,64,4,2,28,0,0,0,0,0,1,0,0,0,223,0,2,6,0,19,1,4,219,29,0,252,0.869047619047619,0.884920634920635,2006-10-01,-0.26064,2006-10-01,80.2134051248384,"2006-10",133,228.187152777778
"134",134,"2006-11",22,115,22,67,5,1,37,0,0,0,0,0,0,0,0,1,243,1,2,3,0,19,0,4,223,42,0,269,0.828996282527881,0.903345724907063,2006-11-01,-0.31071,2006-11-01,80.0983122737295,"2006-11",134,276.549652777778
"135",135,"2006-12",10,69,17,62,1,1,30,0,0,0,0,0,1,0,0,0,167,1,2,2,0,17,0,4,158,28,0,190,0.831578947368421,0.878947368421053,2006-12-01,-0.28067,2006-12-01,80.1370234792814,"2006-12",135,217.157986111111
"136",136,"2007-01",14,111,17,65,3,0,29,0,0,0,0,0,1,1,0,0,217,0,1,1,0,16,2,5,193,41,0,239,0.807531380753138,0.907949790794979,2007-01-01,0.00276,2007-01-01,80.1570112720318,"2007-01",136,249.722569444444
"137",137,"2007-02",25,104,17,57,1,2,33,0,1,0,0,0,0,0,0,0,211,2,1,2,1,21,0,7,204,28,0,239,0.853556485355649,0.882845188284519,2007-02-01,-0.2103,2007-02-01,79.976237321886,"2007-02",137,254.166319444444
"138",138,"2007-03",24,74,27,81,4,2,28,0,0,0,0,0,0,0,0,0,212,1,4,1,2,19,1,5,191,44,0,240,0.795833333333333,0.883333333333333,2007-03-01,-0.03935,2007-03-01,80.1597495602628,"2007-03",138,217.099652777778
"139",139,"2007-04",34,85,20,59,4,2,25,0,0,0,0,0,2,1,0,0,205,0,2,2,0,16,1,7,182,40,0,229,0.794759825327511,0.895196506550218,2007-04-01,-0.23376,2007-04-01,80.0211142175286,"2007-04",139,222.949652777778
"140",140,"2007-05",29,85,20,83,9,3,31,0,0,0,0,0,1,2,0,2,223,5,1,5,1,20,0,6,216,38,0,260,0.830769230769231,0.857692307692308,2007-05-01,-0.1752,2007-05-01,80.0785145140326,"2007-05",140,264.201736111111
"141",141,"2007-06",17,75,25,51,6,0,48,0,0,0,0,0,1,0,0,0,194,1,3,3,2,17,1,13,174,35,0,222,0.783783783783784,0.873873873873874,2007-06-01,-0.18984,2007-06-01,79.9640164531831,"2007-06",141,218.426736111111
"142",142,"2007-07",22,96,21,62,9,5,46,0,0,0,0,0,2,1,0,0,234,2,1,9,0,10,2,9,212,40,0,261,0.812260536398467,0.896551724137931,2007-07-01,-0.27502,2007-07-01,79.7970898944863,"2007-07",142,251.187152777778
"143",143,"2007-08",25,113,27,61,10,2,58,0,0,0,0,0,1,0,0,1,264,1,4,4,4,17,0,13,241,42,0,296,0.814189189189189,0.891891891891892,2007-08-01,-0.45604,2007-08-01,79.864576418203,"2007-08",143,281.622569444444
"144",144,"2007-09",14,84,20,66,14,1,36,0,0,0,0,0,2,1,0,1,212,4,1,4,0,9,1,14,198,23,0,235,0.842553191489362,0.902127659574468,2007-09-01,-0.40435,2007-09-01,79.860833338401,"2007-09",144,250.728819444444
"145",145,"2007-10",20,115,37,88,11,3,45,0,0,0,0,0,2,2,0,2,271,4,3,6,0,27,2,7,267,45,0,319,0.836990595611285,0.849529780564263,2007-10-01,-0.36613,2007-10-01,79.7864405351584,"2007-10",145,295.187152777778
"146",146,"2007-11",26,95,21,96,16,4,43,0,1,0,0,1,1,1,0,1,268,2,1,5,0,20,0,20,235,46,0,301,0.780730897009967,0.890365448504983,2007-11-01,-0.45171,2007-11-01,79.9276209692246,"2007-11",146,308.549652777778
"147",147,"2007-12",27,78,24,67,8,1,19,0,0,0,0,0,0,0,0,0,198,1,2,3,0,19,1,16,167,41,0,224,0.745535714285714,0.883928571428571,2007-12-01,-0.47531,2007-12-01,79.8102863829334,"2007-12",147,251.157986111111
"148",148,"2008-01",24,109,24,82,10,3,31,0,0,0,0,1,2,2,0,0,254,1,0,4,0,18,1,7,232,44,0,283,0.819787985865724,0.897526501766785,2008-01-01,-0.81615,2008-01-01,79.8261482665792,"2008-01",148,293.722569444444
"149",149,"2008-02",20,114,23,89,7,3,26,0,1,0,0,0,1,2,0,0,260,0,0,4,0,14,0,8,228,46,0,282,0.808510638297872,0.921985815602837,2008-02-01,-1.12857,2008-02-01,79.6824374369453,"2008-02",149,297.166319444444
"150",150,"2008-03",26,96,32,88,12,0,26,0,0,0,0,0,2,5,0,0,244,1,1,0,1,23,3,12,215,53,0,280,0.767857142857143,0.871428571428571,2008-03-01,-1.21163,2008-03-01,79.6026938704571,"2008-03",150,257.099652777778
"151",151,"2008-04",20,105,31,85,8,2,18,0,0,0,0,0,0,2,0,0,244,0,1,4,1,16,1,10,215,44,0,269,0.799256505576208,0.907063197026022,2008-04-01,-1.58702,2008-04-01,79.5466703711526,"2008-04",151,262.949652777778
"152",152,"2008-05",15,109,26,80,14,2,33,0,0,0,0,0,0,1,0,0,248,2,1,4,1,22,0,22,207,50,0,279,0.741935483870968,0.888888888888889,2008-05-01,-1.74946,2008-05-01,79.377958800407,"2008-05",152,283.201736111111
"153",153,"2008-06",21,101,21,78,17,3,21,0,0,0,0,1,1,0,0,2,231,2,2,4,1,18,0,14,210,38,0,262,0.801526717557252,0.881679389312977,2008-06-01,-1.85455,2008-06-01,79.311143085033,"2008-06",153,258.426736111111
"154",154,"2008-07",24,100,28,78,18,1,25,0,0,0,0,0,0,2,0,0,239,3,5,4,1,20,0,13,218,43,0,274,0.795620437956204,0.872262773722628,2008-07-01,-1.80964,2008-07-01,79.1912253393472,"2008-07",154,264.187152777778
"155",155,"2008-08",20,82,30,82,9,2,17,0,0,0,0,0,0,1,0,0,213,0,3,1,0,23,1,12,173,57,0,242,0.714876033057851,0.880165289256198,2008-08-01,-1.66219,2008-08-01,78.8691023355181,"2008-08",155,227.622569444444
"156",156,"2008-09",19,101,28,76,17,3,29,0,1,0,0,0,2,0,0,0,239,1,4,4,1,20,1,10,222,41,0,273,0.813186813186813,0.875457875457875,2008-09-01,-1.73406,2008-09-01,78.7924266172044,"2008-09",156,288.728819444444
"157",157,"2008-10",29,111,26,73,11,4,28,0,0,0,0,0,1,0,0,1,248,2,1,5,2,21,1,10,233,39,0,282,0.826241134751773,0.879432624113475,2008-10-01,-2.74778,2008-10-01,78.5509379500457,"2008-10",157,258.187152777778
"158",158,"2008-11",19,81,33,60,13,3,17,0,0,0,0,0,2,0,0,0,210,0,1,2,1,10,0,9,165,52,0,226,0.730088495575221,0.929203539823009,2008-11-01,-3.39325,2008-11-01,78.1791039020109,"2008-11",158,233.549652777778
"159",159,"2008-12",19,92,31,69,11,2,18,0,0,0,0,0,3,1,0,0,216,2,3,4,1,11,1,9,192,41,0,242,0.793388429752066,0.892561983471074,2008-12-01,-3.82705,2008-12-01,77.6297795386802,"2008-12",159,269.157986111111
"160",160,"2009-01",15,98,26,69,11,1,19,0,0,0,0,0,1,1,0,0,216,0,0,4,0,17,0,10,197,32,0,239,0.824267782426778,0.903765690376569,2009-01-01,-4.18438,2009-01-01,77.0675907753294,"2009-01",160,249.722569444444
"161",161,"2009-02",12,76,23,61,12,0,20,0,0,0,0,0,1,0,0,1,186,2,1,0,0,12,1,5,156,43,0,204,0.764705882352941,0.911764705882353,2009-02-01,-4.12014,2009-02-01,76.6920525333974,"2009-02",161,219.166319444444
"162",162,"2009-03",17,119,29,83,9,1,31,0,0,0,0,0,1,2,0,1,257,3,1,3,0,20,1,5,230,54,0,289,0.795847750865052,0.889273356401384,2009-03-01,-3.89601,2009-03-01,76.2593973335328,"2009-03",162,266.099652777778
"163",163,"2009-04",17,94,29,73,10,1,18,0,0,0,0,0,2,1,0,0,204,3,1,6,1,21,3,9,190,43,0,242,0.785123966942149,0.84297520661157,2009-04-01,-3.29793,2009-04-01,76.1228485883525,"2009-04",163,235.949652777778
"164",164,"2009-05",19,83,23,82,10,1,25,0,0,0,0,0,0,0,0,0,225,2,0,4,0,12,0,8,189,46,0,243,0.777777777777778,0.925925925925926,2009-05-01,-2.53572,2009-05-01,75.7088669433436,"2009-05",164,247.201736111111
"165",165,"2009-06",19,104,27,79,6,1,31,0,0,0,0,0,0,1,0,1,242,1,1,7,2,12,0,5,217,45,0,267,0.812734082397004,0.906367041198502,2009-06-01,-1.90344,2009-06-01,75.6926845731584,"2009-06",165,263.426736111111
"166",166,"2009-07",25,115,18,85,13,2,22,0,0,0,0,0,2,0,0,0,251,1,2,3,1,20,0,8,237,35,0,280,0.846428571428571,0.896428571428571,2009-07-01,-1.51804,2009-07-01,75.6857800040112,"2009-07",166,270.187152777778
"167",167,"2009-08",24,118,30,65,9,0,20,0,0,0,0,0,4,0,0,0,226,1,1,5,2,26,1,14,206,46,0,266,0.774436090225564,0.849624060150376,2009-08-01,-1.20115,2009-08-01,75.4989100285147,"2009-08",167,251.622569444444
"168",168,"2009-09",25,113,27,92,6,2,19,0,1,0,0,0,0,0,0,0,256,2,3,0,2,20,0,11,231,42,0,284,0.813380281690141,0.901408450704225,2009-09-01,-0.73383,2009-09-01,75.0795829037606,"2009-09",168,299.728819444444
"169",169,"2009-10",19,108,24,87,14,4,13,0,0,0,0,0,3,1,0,1,232,6,1,5,1,18,1,4,225,40,0,269,0.836431226765799,0.862453531598513,2009-10-01,-0.66371,2009-10-01,75.0689115637356,"2009-10",169,245.187152777778
"170",170,"2009-11",20,85,35,79,6,2,15,0,0,0,1,0,0,0,0,1,214,2,2,4,1,16,1,5,192,45,0,242,0.793388429752066,0.884297520661157,2009-11-01,-0.33103,2009-11-01,75.2321404763051,"2009-11",170,249.549652777778
"171",171,"2009-12",15,93,16,70,14,1,17,0,1,0,0,0,1,0,0,0,197,1,0,2,1,22,1,9,170,47,0,226,0.752212389380531,0.871681415929204,2009-12-01,0.0769,2009-12-01,74.8921972629203,"2009-12",171,253.157986111111
"172",172,"2010-01",30,78,20,63,8,1,15,0,0,0,0,0,0,0,0,0,197,0,0,3,1,14,0,9,174,32,0,215,0.809302325581395,0.916279069767442,2010-01-01,0.32777,2010-01-01,75.2603761752826,"2010-01",172,225.722569444444
"173",173,"2010-02",18,87,26,67,7,2,16,0,0,0,0,0,1,1,0,0,202,1,2,2,1,13,0,7,181,35,0,223,0.811659192825112,0.905829596412556,2010-02-01,0.05752,2010-02-01,75.1299578118372,"2010-02",173,238.166319444444
"174",174,"2010-03",20,114,34,82,9,1,20,0,0,0,0,0,5,1,0,0,247,0,2,6,0,19,0,9,220,51,0,280,0.785714285714286,0.882142857142857,2010-03-01,0.2811,2010-03-01,75.0769834386955,"2010-03",174,257.099652777778
"175",175,"2010-04",26,96,23,84,16,3,13,0,1,0,0,0,1,0,0,0,238,0,4,1,1,14,1,6,204,51,0,261,0.781609195402299,0.911877394636015,2010-04-01,0.51344,2010-04-01,75.2619166874415,"2010-04",175,254.949652777778
"176",176,"2010-05",22,87,30,78,10,2,19,0,2,0,0,0,0,0,0,0,222,1,2,7,0,14,0,7,202,39,0,248,0.814516129032258,0.895161290322581,2010-05-01,0.86035,2010-05-01,75.0227121275233,"2010-05",176,252.201736111111
"177",177,"2010-06",28,110,21,112,10,1,17,0,0,0,0,0,1,0,0,0,264,0,4,4,0,25,1,3,253,43,0,299,0.846153846153846,0.882943143812709,2010-06-01,0.54071,2010-06-01,75.1714012608228,"2010-06",177,295.426736111111
"178",178,"2010-07",21,96,32,73,10,3,12,0,1,0,0,0,1,0,0,0,223,3,1,1,0,17,0,6,203,38,0,247,0.821862348178138,0.902834008097166,2010-07-01,0.3982,2010-07-01,75.132757056654,"2010-07",178,237.187152777778
"179",179,"2010-08",31,89,25,80,12,5,18,0,0,0,0,0,1,1,0,2,231,2,2,3,0,17,1,4,221,35,0,260,0.85,0.888461538461538,2010-08-01,0.51044,2010-08-01,75.0894289079226,"2010-08",179,245.622569444444
"180",180,"2010-09",29,94,30,68,10,2,9,0,1,0,0,0,2,1,0,1,211,3,2,0,0,21,0,2,201,39,0,242,0.830578512396694,0.871900826446281,2010-09-01,0.43966,2010-09-01,75.0751849503253,"2010-09",180,257.728819444444
"181",181,"2010-10",13,90,36,76,5,6,18,0,0,0,0,0,0,0,0,0,217,1,3,7,0,15,1,6,198,40,0,244,0.811475409836066,0.889344262295082,2010-10-01,0.55692,2010-10-01,75.0619191454725,"2010-10",181,220.187152777778
"182",182,"2010-11",19,90,30,72,12,5,15,0,0,0,0,0,3,1,0,1,218,1,1,3,1,14,0,7,198,38,0,243,0.814814814814815,0.897119341563786,2010-11-01,0.68193,2010-11-01,74.7618508937821,"2010-11",182,250.549652777778
"183",183,"2010-12",17,67,25,70,15,2,14,0,0,0,0,0,1,1,0,0,184,2,0,4,0,18,0,8,168,34,0,210,0.8,0.876190476190476,2010-12-01,0.85506,2010-12-01,75.0523486327319,"2010-12",183,237.157986111111
"184",184,"2011-01",18,93,25,61,6,1,11,0,0,0,0,0,0,2,0,1,187,2,2,1,0,20,0,8,164,43,0,215,0.762790697674419,0.869767441860465,2011-01-01,0.63962,2011-01-01,75.2030122844262,"2011-01",184,225.722569444444
"185",185,"2011-02",15,71,31,68,5,0,16,0,0,0,0,0,0,0,0,2,172,2,3,2,0,25,0,5,169,32,0,206,0.820388349514563,0.83495145631068,2011-02-01,1.03125,2011-02-01,75.1541424703814,"2011-02",185,221.166319444444
"186",186,"2011-03",18,94,33,79,13,0,21,0,0,0,0,0,0,2,0,0,235,0,1,1,0,18,1,10,209,39,0,258,0.810077519379845,0.910852713178295,2011-03-01,0.84215,2011-03-01,75.2318954363098,"2011-03",186,235.099652777778
"187",187,"2011-04",18,85,30,81,4,1,17,0,0,0,0,0,2,2,0,1,203,2,2,3,0,19,2,3,189,44,0,236,0.800847457627119,0.860169491525424,2011-04-01,1.08387,2011-04-01,74.9908341131509,"2011-04",187,229.949652777778
"188",188,"2011-05",17,80,26,66,12,1,17,0,0,0,0,0,2,1,0,0,201,2,1,6,0,6,0,6,172,41,0,219,0.785388127853881,0.917808219178082,2011-05-01,0.8992,2011-05-01,75.1605665697924,"2011-05",188,223.201736111111
"189",189,"2011-06",24,102,24,79,9,3,12,0,0,0,0,0,0,0,0,0,236,1,0,4,0,12,0,4,211,38,0,253,0.83399209486166,0.932806324110672,2011-06-01,0.80591,2011-06-01,74.9257024585109,"2011-06",189,249.426736111111
"190",190,"2011-07",23,96,20,70,11,2,10,0,0,0,0,0,2,1,0,0,208,0,3,2,0,16,0,9,176,47,0,232,0.758620689655172,0.896551724137931,2011-07-01,0.29488,2011-07-01,75.0588094650116,"2011-07",190,222.187152777778
"191",191,"2011-08",21,117,28,82,10,8,22,0,0,0,0,0,1,1,0,1,262,1,1,2,1,18,0,3,236,49,0,288,0.819444444444444,0.909722222222222,2011-08-01,0.04961,2011-08-01,75.051608758104,"2011-08",191,273.622569444444
"192",192,"2011-09",19,87,31,77,7,1,27,0,0,0,0,0,2,0,0,0,224,3,1,0,0,18,1,8,192,49,0,249,0.771084337349398,0.899598393574297,2011-09-01,0.18392,2011-09-01,74.9416472915001,"2011-09",192,264.728819444444
"193",193,"2011-10",21,92,29,75,10,6,17,0,0,0,0,0,0,0,0,1,221,1,1,3,0,22,1,11,191,48,0,250,0.764,0.884,2011-10-01,0.34689,2011-10-01,75.0031916069723,"2011-10",193,226.187152777778
"194",194,"2011-11",23,94,24,77,7,1,20,0,0,0,0,0,0,0,0,1,226,2,1,1,0,15,0,6,202,38,0,246,0.821138211382114,0.91869918699187,2011-11-01,0.57739,2011-11-01,75.2888024181268,"2011-11",194,253.549652777778
"195",195,"2011-12",11,76,28,72,5,2,12,0,0,0,0,0,0,0,0,0,181,0,0,4,0,21,0,7,161,38,0,206,0.781553398058252,0.878640776699029,2011-12-01,0.74046,2011-12-01,75.4565650780121,"2011-12",195,233.157986111111
"196",196,"2012-01",18,102,18,61,9,8,16,0,0,0,0,0,0,2,0,0,208,1,3,0,2,16,0,6,187,39,0,232,0.806034482758621,0.896551724137931,2012-01-01,0.98699,2012-01-01,75.5323839605204,"2012-01",196,242.722569444444
"197",197,"2012-02",19,88,22,61,4,6,15,0,0,0,0,0,0,0,0,0,195,1,0,5,0,13,1,5,168,42,0,215,0.781395348837209,0.906976744186046,2012-02-01,1.15212,2012-02-01,75.52949469318,"2012-02",197,230.166319444444
"198",198,"2012-03",19,113,27,64,8,3,17,0,0,0,0,0,0,1,0,0,228,1,3,3,0,14,1,3,198,50,0,251,0.788844621513944,0.908366533864542,2012-03-01,1.10026,2012-03-01,75.6697630695277,"2012-03",198,228.099652777778
"199",199,"2012-04",19,103,21,74,11,6,12,0,0,0,0,0,0,2,0,0,218,2,1,1,0,21,1,11,180,55,0,246,0.731707317073171,0.886178861788618,2012-04-01,0.85002,2012-04-01,75.6519161620323,"2012-04",199,239.949652777778
"200",200,"2012-05",21,105,28,75,5,7,11,0,0,0,0,0,0,0,0,0,226,2,3,5,0,16,0,11,196,45,0,252,0.777777777777778,0.896825396825397,2012-05-01,0.70016,2012-05-01,75.7313355330184,"2012-05",200,256.201736111111
"201",201,"2012-06",14,90,19,74,6,6,23,0,0,0,0,0,1,1,0,1,208,1,0,2,1,16,1,9,185,38,0,232,0.797413793103448,0.896551724137931,2012-06-01,0.66152,2012-06-01,75.5971266664982,"2012-06",201,228.426736111111
"202",202,"2012-07",16,90,25,93,8,3,19,0,0,0,0,0,1,1,0,0,233,2,4,1,0,11,1,4,214,36,0,254,0.84251968503937,0.917322834645669,2012-07-01,0.6985,2012-07-01,75.6531779052519,"2012-07",202,244.187152777778
"203",203,"2012-08",17,104,20,74,5,5,23,0,0,0,0,0,0,2,0,0,223,1,1,4,0,15,2,7,192,49,0,248,0.774193548387097,0.899193548387097,2012-08-01,0.70087,2012-08-01,75.6784661534639,"2012-08",203,233.622569444444
"204",204,"2012-09",18,93,25,87,8,2,13,0,0,0,0,0,0,1,0,1,226,0,5,3,0,10,0,5,203,37,1,246,0.82520325203252,0.91869918699187,2012-09-01,0.80907,2012-09-01,75.9091655141024,"2012-09",204,261.728819444444
"205",205,"2012-10",22,125,28,88,9,3,19,0,0,0,0,0,4,0,0,1,266,1,2,2,0,17,1,6,229,59,0,294,0.77891156462585,0.904761904761905,2012-10-01,0.80915,2012-10-01,76.0576370491552,"2012-10",205,270.187152777778
"206",206,"2012-11",21,89,30,58,5,3,10,0,1,0,0,0,0,3,0,0,191,0,3,2,0,16,0,5,166,45,0,216,0.768518518518518,0.884259259259259,2012-11-01,0.59893,2012-11-01,75.7290871868774,"2012-11",206,223.549652777778
"207",207,"2012-12",15,71,14,65,10,4,19,0,0,0,0,0,1,1,0,0,174,2,4,0,1,15,0,6,158,34,0,198,0.797979797979798,0.878787878787879,2012-12-01,0.56909,2012-12-01,75.9257815517984,"2012-12",207,225.157986111111
"208",208,"2013-01",24,76,25,82,6,2,13,0,1,0,0,0,1,2,0,1,199,2,3,1,1,16,1,13,175,40,0,228,0.767543859649123,0.87280701754386,2013-01-01,0.42731,2013-01-01,75.6441607751675,"2013-01",208,238.722569444444
"209",209,"2013-02",25,77,28,69,8,0,12,0,0,0,0,0,0,2,0,0,197,2,0,2,1,14,1,5,173,39,2,219,0.789954337899543,0.899543378995434,2013-02-01,0.71389,2013-02-01,75.8286025111614,"2013-02",209,234.166319444444
"210",210,"2013-03",17,92,23,86,5,1,26,0,0,0,0,0,1,1,0,0,221,1,1,2,0,23,0,12,195,43,0,250,0.78,0.884,2013-03-01,0.61098,2013-03-01,75.8027659860634,"2013-03",210,227.099652777778
"211",211,"2013-04",14,80,13,86,7,4,24,0,1,0,0,0,0,0,0,2,204,1,4,3,1,12,0,14,174,40,0,228,0.763157894736842,0.894736842105263,2013-04-01,0.72967,2013-04-01,75.8698902439368,"2013-04",211,221.949652777778
"212",212,"2013-05",17,77,23,69,8,3,21,0,0,0,0,0,1,0,0,1,198,5,1,3,1,8,0,10,155,53,0,218,0.711009174311927,0.908256880733945,2013-05-01,0.75283,2013-05-01,76.0961840613864,"2013-05",212,222.201736111111
"213",213,"2013-06",20,89,28,53,9,8,18,0,0,0,0,0,0,1,0,0,205,1,2,5,0,11,0,7,180,37,1,225,0.8,0.911111111111111,2013-06-01,0.83646,2013-06-01,75.881218881532,"2013-06",213,221.426736111111
